critic,date,fresh,imdb,original_score,publication,quote,review_date,rt_id,title
Joe Baltake,2000-01-01,fresh,113987,,Sacramento Bee,"Rich, dense and complex.",http://www.movieclub.com/reviews/archives/95nixon/nixon.html,16248,Nixon
Stanley Kauffmann,2000-01-01,fresh,113987,,The New Republic,The picture is a case study.,,16248,Nixon
Sean Means,2000-01-01,fresh,113987,,Film.com,Casting Anthony Hopkins was a stroke of unexpected genius.,,16248,Nixon
Emily White,2000-01-01,rotten,113987,,Film.com,"Stone's no Shakespeare, and neither are his screenwriters.",,16248,Nixon
Mike Clark,2000-01-01,fresh,113987,3/4,USA Today,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,,16248,Nixon
Lyall Bush,2000-01-01,rotten,113987,,Film.com,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,,16248,Nixon
Richard Corliss,2000-01-01,rotten,113987,,TIME Magazine,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",,16248,Nixon
Susan Wloszczyna,2000-01-01,fresh,112760,2.5/4,USA Today,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",,10672,Cutthroat Island
Owen Gleiberman,2010-01-25,fresh,112641,B-,Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.","http://www.ew.com/ew/article/0,,299779,00.html",13456,Casino
Richard Schickel,2010-01-25,fresh,112641,,TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.","http://www.time.com/time/magazine/article/0,9171,983767,00.html",13456,Casino
Jonathan Rosenbaum,2010-01-25,rotten,112641,,Chicago Reader,Simultaneously quite watchable and passionless.,http://www.chicagoreader.com/chicago/casino/Film?oid=1049364,13456,Casino
Todd McCarthy,2008-05-16,fresh,112641,,Variety,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",http://www.variety.com/review/VE1117904698.html?categoryid=31&cs=1,13456,Casino
David Ansen,2008-03-31,rotten,112641,,Newsweek,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",http://www.newsweek.com/id/104197,13456,Casino
Hal Hinson,2006-08-09,rotten,112641,,Washington Post,"Scorsese may be flailing here, but Scorsese flailing is more formidable than most directors at the top of their form.",,13456,Casino
Geoff Andrew,2006-02-09,rotten,112641,,Time Out,"The result, sadly, is that contradiction in terms, a dull Scorsese movie.",http://www.timeout.com/film/reviews/68926/casino.html,13456,Casino
Janet Maslin,2003-05-20,fresh,112641,4/5,New York Times,"Of all the bravura visual effects in Martin Scorsese's dazzlingly stylish Casino, it's a glimpse of ordinary people that delivers the greatest jolt.",http://movies.nytimes.com/movie/review?res=9C05E5D91339F931A15752C1A963958260&partner=Rotten Tomatoes,13456,Casino
Mick LaSalle,2002-06-18,rotten,112641,1/4,San Francisco Chronicle,"It's an ambitious film, but also a scattered, unfocused one.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/05/24/DD38770.DTL,13456,Casino
Rick Groen,2002-04-12,fresh,112641,3/4,Globe and Mail,"Visually impressive, splendidly performed, thematically significant, this is a movie in full possession of every key cinematic asset except one -- a solid script.",http://www.globeandmail.com/servlet/ArticleNews/movie/TVCONNECT/00010101/100209,13456,Casino
Peter Travers,2001-05-12,fresh,112641,4/4,Rolling Stone,[A] Vegas masterpiece.,,13456,Casino
Kenneth Turan,2001-02-13,fresh,112641,3.5/5,Los Angeles Times,"Martin Scorsese is a master filmmaker, so skilled in the manipulation of imagery he might be the most proficient of active American directors.","http://www.calendarlive.com/movies/reviews/cl-movie960406-40,0,962161.story",13456,Casino
Desson Thomson,2000-01-01,rotten,112641,,Washington Post,"After coming out gangbusters in its first and finest hour, the 180-minute movie loses all its chips in the remaining two.",,13456,Casino
Roger Ebert,2000-01-01,fresh,112641,4/4,Chicago Sun-Times,Martin Scorsese's fascinating new film Casino knows a lot about the Mafia's relationship with Las Vegas.,http://www.rogerebert.com/reviews/casino-1995,13456,Casino
James Berardinelli,2000-01-01,fresh,112641,3.5/4,ReelViews,"In every way -- from the fantastic sets, rich dialogue, and unapologetic violence to the well-portrayed characters and themes of loyalty and betrayal -- Casino is pure Scorsese.",http://www.reelviews.net/php_review_template.php?identifier=63,13456,Casino
Mike Clark,2000-01-01,fresh,112641,3.5/4,USA Today,"Whether you find it exhilarating, expendable or exhausting -- and you will find it exhausting -- Martin Scorsese's Casino is the spectacular last word on urban sprawl.",,13456,Casino
Todd McCarthy,2009-01-30,fresh,114388,,Variety,Thompson's script manages the neat trick of preserving the necessary niceties and decorum of civilized behavior of the time while still cutting to the dramatic quick.,http://www.variety.com/review/VE1117910516.html?categoryid=31&cs=1,10042,Sense and Sensibility
Jonathan Rosenbaum,2007-02-09,fresh,114388,,Chicago Reader,I can't say I remembered this 1995 feature too clearly a couple of days later; but I certainly had a good time as I watched it.,http://onfilm.chicagoreader.com/movies/briefs/13199_SENSE_AND_SENSIBILITY.html,10042,Sense and Sensibility
Geoff Andrew,2006-06-24,fresh,114388,,Time Out,Thompson and Winslet give fine performances ably supported by the rest of the ensemble.,http://www.timeout.com/film/reviews/74302/sense_and_sensibility.html,10042,Sense and Sensibility
Janet Maslin,2003-05-21,fresh,114388,5/5,New York Times,We need no further proof that this material is ageless.,http://movies.nytimes.com/movie/review?res=9B02EFD71639F930A25751C1A963958260&partner=Rotten Tomatoes,10042,Sense and Sensibility
Kenneth Turan,2001-02-13,fresh,114388,3.5/5,Los Angeles Times,"The sensibility may be a bit off, but there is more than enough sense involved in this mid-Atlantic Austen to make up the difference.","http://www.calendarlive.com/movies/reviews/cl-movie960406-23,0,896626.story",10042,Sense and Sensibility
Louis B. Parks,2000-01-01,fresh,114388,,Houston Chronicle,The film is packed with pleasing performances by stage-trained actors.,,10042,Sense and Sensibility
James Berardinelli,2000-01-01,fresh,114388,3.5/4,ReelViews,Told with deft skill and a pleasantly humorous romantic touch.,http://www.reelviews.net/php_review_template.php?identifier=107,10042,Sense and Sensibility
Susan Stark,2000-01-01,fresh,114388,4/4,Detroit News,It's bliss.,http://data.detnews.com/movies/details.hbs?myrec=229,10042,Sense and Sensibility
John Hartl,2000-01-01,fresh,114388,,Film.com,"A triumph for Taiwan's most famous director, Ang Lee.",,10042,Sense and Sensibility
Sean Means,2000-01-01,fresh,114388,,Film.com,Thompson's script hits its peak by keeping Austen's voice yet finding the satirical smirk behind it.,,10042,Sense and Sensibility
Bruce Reid,2000-01-01,fresh,114388,,Film.com,"Sense and Sensibility is funny, expansive, and a delight to spend company with.",,10042,Sense and Sensibility
Mike Clark,2000-01-01,fresh,114388,3.5/4,USA Today,"The movie is good fun, boasting a dozen vivid characters and two that moviegoers will take to heart.",,10042,Sense and Sensibility
Roger Ebert,2000-01-01,rotten,114388,2.5/4,Chicago Sun-Times,"Sense and Sensibility is an enjoyable film, and yet it left me somehow unsatisfied.",http://www.rogerebert.com/reviews/sense-and-sensibility-1995,10042,Sense and Sensibility
Joe Baltake,2000-01-01,fresh,114388,,Sacramento Bee,Exquisitely detailed and impeccably acted.,http://www.movieclub.com/reviews/archives/95sensibility/sensibility.html,10042,Sense and Sensibility
Mick LaSalle,2000-01-01,fresh,114388,4/4,San Francisco Chronicle,"An exuberant, well- crafted film that gets the audience involved on a gut level.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/12/13/DD71459.DTL,10042,Sense and Sensibility
Jonathan Rosenbaum,2007-03-13,rotten,113101,,Chicago Reader,"The results are mainly awful, and even Roth got saddled with a mannered part that he can't comfortably play.",http://onfilm.chicagoreader.com/movies/capsules/13206_FOUR_ROOMS,13075,Four Rooms
Emanuel Levy,2006-12-28,rotten,113101,C-,Variety,"Four of the hottest indie directors--Anders, Rockwell, Tarantino, and Rodrigues--miss a unique opportunity to display their idiosyncratic talents resulting in a tedious anthology in which 2 segments are inept, one barely decent, and one OK (guess whose)",http://www.variety.com/review/VE1117904453.html?categoryid=31&cs=1,13075,Four Rooms
,2006-01-26,rotten,113101,,Time Out,They should have called this One Room and released it as a Rodriguez short.,http://www.timeout.com/film/reviews/66976/four_rooms.html,13075,Four Rooms
Janet Maslin,2003-05-20,rotten,113101,1/5,New York Times,"The less said about this career-denting fiasco, the better.",http://movies.nytimes.com/movie/review?res=9C02E5D71539F935A15751C1A963958260&partner=Rotten Tomatoes,13075,Four Rooms
Jack Mathews,2001-02-13,rotten,113101,1.5/5,Los Angeles Times,Sounds better than it is.,"http://www.calendarlive.com/movies/reviews/cl-movie960406-6,0,4826495.story",13075,Four Rooms
Mike Clark,2000-01-01,rotten,113101,1/4,USA Today,"Four Rooms has been cut substantially since a disastrous September reception at the Toronto Film Festival, though it's hard to imagine it running any longer.",,13075,Four Rooms
Roger Ebert,2000-01-01,rotten,113101,2/4,Chicago Sun-Times,"The four segments are widely different in quality. On the useful scale of the Michelin guides, one is worth a trip, another is worth a detour, and the other two are a colossal waste of bandwidth.",http://www.rogerebert.com/reviews/four-rooms-1995,13075,Four Rooms
Hal Hinson,2000-01-01,rotten,113101,,Washington Post,Four Rooms asserts itself as a goof so laboriously and aggressively that you almost feel pinned back in your seat.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/fourroomsrhinson_c03fa1.htm,13075,Four Rooms
Edward Guthmann,2000-01-01,rotten,113101,0/4,San Francisco Chronicle,"The result is a batch of shrill, self-indulgent sketches that turn so wretched in spots you start to wonder if the filmmakers wanted them to be bad.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/07/19/DD69975.DTL,13075,Four Rooms
Desson Thomson,2000-01-01,rotten,113101,,Washington Post,The segments are uniformly weak.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/fourroomsrhowe_c03fe3.htm,13075,Four Rooms
James Berardinelli,2000-01-01,rotten,113101,2/4,ReelViews,Four Rooms has to be one of 1995's major disappointments.,http://www.reelviews.net/php_review_template.php?identifier=675,13075,Four Rooms
Susan Wloszczyna,2000-01-01,rotten,112281,2/4,USA Today,"There's so little to watch besides Carrey, in fact, it makes you actually miss (gasp!) Sean Young from Ace 1.",,10604,Ace Ventura - When Nature Calls
Brian Lowry,2009-03-26,rotten,113845,,Variety,Bounces along with a lame script and inconsistent pace.,http://www.variety.com/review/VE1117910468.html?categoryid=31&cs=1,14560,Money Train
Nigel Floyd,2006-06-24,rotten,113845,,Time Out,Hardly worth the four-year wait.,http://www.timeout.com/film/reviews/73416/money_train.html,14560,Money Train
Stephen Holden,2003-05-20,fresh,113845,4/5,New York Times,"More viscerally charged than ""Speed"" and hipper than ""Die Hard With a Vengeance,"" the movie is a careening, screeching joyride that showers sparks like fireworks.",http://movies.nytimes.com/movie/review?res=9906E5D91339F931A15752C1A963958260&partner=Rotten Tomatoes,14560,Money Train
Kenneth Turan,2001-02-13,fresh,113845,3/5,Los Angeles Times,"""Money Train"" is a by-the-numbers action-buddy picture, and few directors run through those numbers as smoothly as Joseph Ruben.",http://articles.latimes.com/1995-11-22/entertainment/ca-5884_1_money-train,14560,Money Train
Hal Hinson,2000-01-01,rotten,113845,,Washington Post,"Even if they only charged a token, it would be too much.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/moneytrainrhinson_c038f4.htm,14560,Money Train
Mike Clark,2000-01-01,rotten,113845,2.5/4,USA Today,"It's stupid, but also breezier than the year's other 12-score releases not worth a second look.",,14560,Money Train
Ken Tucker,1995-11-22,rotten,113845,D+,Entertainment Weekly,"A big, noisy headache of a movie...","http://www.ew.com/ew/article/0,,299778,00.html",14560,Money Train
David Ansen,2008-05-07,fresh,113161,,Newsweek,"Hollywood has been in love with mobsters since the beginning of movies. But the other side of the equation has seldom been considered. That is, until now.",http://www.msnbc.com/m/nw/a/m/mv_g.asp#Get%20Shorty,13680,Get Shorty
Variety Staff,2008-05-07,fresh,113161,,Variety,A drolly offbeat look at Hollywood mores dedicated to the proposition that the best preparation for becoming a film producer is a stint in the criminal underworld.,http://www.variety.com/review/VE1117791236.html?categoryid=31&cs=1,13680,Get Shorty
